role,user_id,event_id,event_name,reach,expense,budget,city,country,status,forward_ga
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700014a,Republic Day,28202,$7570.33,$5589.05,Seattle,United States,true,true
user,gwehnerr6@sciencedaily.com,62d3b99ffc13ae55b700014b,Baisakhi,66508,$8757.17,$8277.92,Jember,Indonesia,true,false
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700014c,Independence Day,1194,$3010.74,$5740.96,Sevilla,Colombia,true,false
user,odumbleton12@infoseek.co.jp,62d3b99ffc13ae55b700014d,Krishna Janmashtami,85467,$3467.35,$8108.55,Veracruz,Panama,true,false
user,oskehane@ovh.net,62d3b99ffc13ae55b700014e,Independence Day,39552,$9628.02,$4283.50,Las Matas de Farfán,Dominican Republic,true,true
user,cjanssonp@va.gov,62d3b99ffc13ae55b700014f,Makar Sankranti,80783,$8108.37,$1392.35,Bafilo,Togo,false,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b7000150,Christmas,2405,$9044.06,$2637.55,Catia La Mar,Venezuela,true,true
user,oskehane@ovh.net,62d3b99ffc13ae55b7000151,Eid-Ul-Fitr,93733,$6374.12,$7085.12,Jinchuan,China,false,true
user,vtregidoi@bbc.co.uk,62d3b99ffc13ae55b7000152,Chhath Puja,22818,$8121.86,$4183.77,Gora,Nigeria,false,false
user,oskehane@ovh.net,62d3b99ffc13ae55b7000153,Ugadi,41385,$8757.54,$7266.58,Landázuri,Colombia,true,true
user,cwayte18@springer.com,62d3b99ffc13ae55b7000154,Govardhan Puja,37715,$9473.55,$8491.96,Cinangka,Indonesia,true,true
user,oskehane@ovh.net,62d3b99ffc13ae55b7000155,Govardhan Puja,46466,$6656.36,$1848.38,Daixi,China,true,false
user,cwayte18@springer.com,62d3b99ffc13ae55b7000156,Easter,81683,$1202.07,$4322.68,Solntsevo,Russia,true,false
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b7000157,Buddha Jayanti,11805,$2508.62,$7946.58,Leku,Ethiopia,true,false
user,eagirret@senate.gov,62d3b99ffc13ae55b7000158,Buddha Jayanti,68420,$2466.88,$6740.66,Sinop,Brazil,true,false
user,oskehane@ovh.net,62d3b99ffc13ae55b7000159,Christmas,35785,$2597.43,$4807.76,Gagarin,Armenia,false,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700015a,Baisakhi,82860,$6346.38,$5598.85,Lidingö,Sweden,true,true
user,mnodeso@parallels.com,62d3b99ffc13ae55b700015b,Camel Festival,1321,$3132.48,$4895.46,São Gonçalo do Amarante,Brazil,true,true
user,cjanssonp@va.gov,62d3b99ffc13ae55b700015c,Dussehra,88386,$3102.81,$8294.98,Kedungkrajan,Indonesia,false,true
user,hcuddyg@telegraph.co.uk,62d3b99ffc13ae55b700015d,Eid-Ul-Fitr,66032,$8582.61,$7035.30,Huangtan,China,false,false
